Resolución;Fecha;Resumen;Subtema;año
 001-2000 ; 18/02/2000; 001-2000  Fijan el Valor Nuevo de Reemplazo (VNR) inicial del Reforzamiento de los Sistemas de Transmisión Eléctrica del Sur.(e. 18/02/2000, p. 29/02/2000);Tarifarias;2000
 002-2000 ;28/02/2000; 002-2000  Establecen que los Factores de Ponderación de la Energía (Ep) señalados en la Resolución  002-99  continuarán vigentes hasta la próxima regulación de Tarifas en Barra.(e. 28/02/2000, p. 29/02/2000).;Tarifarias;2000
 003-2000 ;13/04/2000; 003-2000  Aprueban los Factores de Ponderación de la Energía (Ep) aplicables para el cálculo del cargo de energía de las opciones tarifarias MT4, BT4 y BT5 desde el 1° de mayo de 2000 hasta el 30 de abril de 2001.(e. 13/04/2000, p. 15/04/2000).;Tarifarias;2000
 004-2000 ;13/04/2000; 004-2000  Fijan Tarifas en Barra y fórmulas de actualización para suministros a que se refiere el Artículo 43° inciso c) de la Ley de Concesiones Eléctricas.(e. 13/04/2000, p. 15/04/2000).;Tarifarias;2000
 005-2000 ;; 005-2000  Aprueban la Memoria Anual 1999 de la Comisión de Tarifas de Energía.  se publicó. (e. 25/04/2000).;Tarifarias;
 006-2000 ;27/04/2000; 006-2000  Aprueban el Factor de Balance de Potencia Coincidente en Horas de Punta (FBP) a nivel de empresa aplicable a los sistemas eléctricos con demanda máxima mayor a 12 MW desde el 01 de mayo del año 2000 hasta el 30 de abril del año 2001. (e. 27/04/2000, p. 29/04/2000).;Tarifarias;2000
 007-2000 ;18/05/2000; 007-2000  Declaran fundado en parte el Recurso de Reconsideración interpuesto por el Comité de Operación Económica del Sistema Interconectado Centro rte, COES-SICN contra la Resolución de la Comisión de Tarifas de Energía  004-2000 . (e. 18/05/2000, p. 20/05/2000).;Tarifarias;2000
 008-2000 ;18/05/2000; 008-2000  Declaran infundado el Recurso de Reconsideración interpuesto por HIDRANDINA S.A., contra la Resolución  004-2000 . (e. 18/05/2000, p. 20/05/2000).;Tarifarias;2000
 009-2000 ;18/05/2000; 009-2000  Declaran fundado el Recurso de Reconsideración interpuesto por ETESUR S.A., y ordenan se efectúe corrección en el cuadro que aparece en el Artículo Décimo de la Resolución  004-2000 . (e. 18/05/2000, p. 20/05/2000).;Tarifarias;2000
 010-2000 ;18/05/2000; 010-2000  Declaran fundado el Recurso de Reconsideración interpuesto por LUZ DEL SUR S.A.A. contra la Resolución  004-2000  y se deja sin efecto el Artículo Décimo Sétimo de la Resolución  004-2000 . (e. 18/05/2000, p. 20/05/2000).;Tarifarias;2000
 011-2000 ;8/06/2000; 011-2000  Declaran infundado Recurso de Reconsideración interpuesto por la empresa ELECTROCENTRO S.A. contra la Resolución  006-2000 . (e. 08/06/2000, p. 09/06/2000).;Tarifarias;2000
 012-2000 ;8/06/2000; 012-2000  Declaran infundado Recurso de Reconsideración interpuesto por la empresa ELECTRORTE S.A. contra la Resolución  006-2000 . (e. 08/06/2000, p. 09/06/2000).;Tarifarias;2000
 013-2000 ;8/06/2000; 013-2000  Declaran infundado Recurso de Reconsideración interpuesto por la empresa ELECTROROESTE S.A. contra la Resolución  006-2000 . (e. 08/06/2000, p. 09/06/2000).;Tarifarias;2000
 014-2000 ;9/06/2000; 014-2000  Aprueban documento de Procedimiento y Cálculo de la Tarifa en Barra correspondiente a la regulación tarifaria del mes de mayo del año 2000.(e. 09/06/2000, p. 11/06/2000).;Tarifarias;2000
 015-2000 ;28/08/2000; 015-2000  Aprueban el Peaje Unitario por Conexión aplicable al Sistema Eléctrico Interconectado Nacional y el Peaje por Conexión del Sistema Principal de Transmisión Mantaro-Socabaya y el correspondiente Ingreso Tarifario Esperado.(e. 28/08/2000, p. 29/08/2000).;Tarifarias;2000
 016-2000 ;22/09/2000; 016-2000  Establecen disposiciones para el cálculo de montos máximos que deben pagar usuarios del servicio público de electricidad como presupuesto de instalación de las conexiones eléctricas.(e. 22/09/2000, p. 23/09/2000).;Tarifarias;2000
 017-2000 ;22/09/2000; 017-2000  Declaran fundada reconsideración interpuesta por Consorcio Transmantaro S.A. contra resolución que aprobó el peaje por conexión del Sistema Principal de Transmisión Mantaro - Socabaya.(e. 22/09/2000, p. 23/09/2000).;Tarifarias;2000
 018-2000 ;22/09/2000; 018-2000  Modifican el Cuadro de “Tarifas en Barra en Subestaciones Base” establecido en la Resolución  004-2000 .(e. 22/09/2000, p. 23/09/2000).;Tarifarias;2000
 019-2000 ;24/10/2000; 019-2000  Fijan a partir del 1 de viembre del 2000 la Tasa de Indisponibilidad Fortuita de la unidad de punta y el Margen de Reserva Firme Objetivo del Sistema Interconectado Nacional.(e. 24/10/2000, p. 25/10/2000).;Tarifarias;2000
